f_data1,f_data2,f_data3,f_data4,f_data5,f_data6,f_data7,f_data8,f_data9,f_data10,f_data11,f_data12,f_data13,f_data14,f_data15,f_data16,f_data17,f_data18,f_data19,f_data20,f_data21,f_data22,f_data23,f_data24,f_data25,f_data26,f_data27,f_data28,f_data29,f_data30,f_data31,f_data32,f_data33,f_data34,f_data35,f_data36,f_data37,f_data38,f_data39,f_data40,f_data41,f_data42,f_data43,f_data44,f_data45,f_data46,f_data47,f_data48,f_data49,f_data50,f_data51,f_data52,f_data53
0.23766,3641.3,4456.2,9.3705,26.678,41.96,2710.7,75.934,120.39,0.33251,80.394,49.84,2639.8,26.209,52.042,3107.7,23.996,65.812,231.34,341.78,94.641,77.992,32.457,9.0366,26.23,6.9133,18.643,1.6177,32.668,13.72,24.162,1.1688,18.438,2.274,4.8196,2.2563,0.017944,0.82772,0.085205,54.251,44.492,62.541,53.11,23.33,61.332,22.063,39.882,37.63,51.259,48.483,40.641,15.562,0
0.23591,3645.3,4449.9,9.4324,26.974,42.07,2713.3,75.152,120.4,0.33622,80.543,50.43,2641.3,26.151,50.615,3112,22.342,65.943,233.89,340.76,94.689,77.773,32.457,9.0366,26.23,6.9133,18.643,1.6177,32.668,13.72,24.162,1.1688,18.438,2.274,4.8196,2.2563,0.017944,0.82772,0.085205,54.251,44.492,62.473,53.184,23.502,60.229,22.21,39.429,39.365,47.957,48.365,41.24,19.464,0
0.23072,3638.3,4541.9,9.0874,26.84,42.359,2717.8,75.077,120.39,0.32465,80.609,49.76,2646,27.46,49.21,3115.1,22.994,66.048,231.41,339.48,94.839,77.751,32.358,8.8183,26.198,6.6727,18.649,1.6837,33.075,13.951,23.571,1.0585,18.116,2.2405,4.7622,2.2514,0.017944,0.82772,0.085205,54.251,44.492,63.139,53.762,22.392,63.458,22.139,38.661,37.394,44.706,48.695,40.998,17.893,0
0.22955,3679.2,4499.3,9.3604,27.171,42.105,2717.1,75.916,120.39,0.32304,80.413,50.021,2644.5,26.525,50.489,3119.4,22.298,66.102,233.92,337.94,94.872,77.433,32.358,8.8183,26.198,6.6727,18.649,1.6837,33.075,13.951,23.571,1.0585,18.116,2.2405,4.7622,2.2514,0.017944,0.82772,0.085205,54.251,44.492,62.435,54.272,22.507,63.234,21.373,38.857,38.162,47.665,48.577,40.279,19.551,0
0.23523,3699.5,4522.1,9.3477,27.004,41.884,2716.6,75.118,120.39,0.34563,80.147,48.826,2643.3,26.061,49.146,3122.8,22.427,66.056,233.27,336.38,94.84,77.103,32.023,8.8782,27.082,7.0404,18.825,1.6669,32.716,13.724,24.406,1.4515,18.5,2.2315,4.8539,2.3539,0.017944,0.82772,0.085205,54.251,44.492,64.281,54.007,23.377,60.711,20.864,42.312,34.644,44.559,48.745,40.388,19.274,0
0.23507,3726.5,4519.4,9.2684,26.987,42.572,2719,74.836,120.39,0.34926,80.001,50.725,2645.4,24.635,50.622,3124.4,22.195,65.912,234.38,335.89,94.81,77.478,32.023,8.8782,27.082,7.0404,18.825,1.6669,32.716,13.724,24.406,1.4515,18.5,2.2315,4.8539,2.3539,0.031851,0.82866,0.092359,53.775,44.077,63.815,54.039,23.392,62.673,20.644,41.869,40.233,47.975,48.313,40.949,19.82,0
0.26972,3621.3,4493.9,9.4483,27.148,41.979,2723.4,75.648,120.38,0.32433,80.191,49.905,2650.7,25.168,49.488,3129.6,23.138,65.907,232.38,334.51,94.849,77.753,31.204,8.8906,27.299,6.9376,18.556,1.6532,32.279,13.756,24.949,1.3719,18.447,2.272,4.9653,2.281,0.031851,0.82866,0.092359,53.775,44.077,62.425,53.92,26.363,60.566,20.728,38.862,37.821,45.348,48.413,41.037,17.55,0
0.26875,3632.2,4507.7,9.331,26.55,42.199,2732.1,74.211,120.38,0.32381,80.652,48.688,2659,24.204,49.075,3138.6,21.965,65.97,233.77,333.62,95.009,78.01,31.204,8.8906,27.299,6.9376,18.556,1.6532,32.279,13.756,24.949,1.3719,18.447,2.272,4.9653,2.281,0.031851,0.82866,0.092359,53.775,44.077,62.237,53.755,26.458,61.769,20.734,38.925,34.238,44.393,48.204,40.591,20.279,0
0.35383,3627.9,4557.4,9.2563,26.876,42.143,2738.1,74.749,120.43,0.32896,80.525,51.801,2664.8,25.295,48.713,3147.6,22.809,66.02,234.01,332.47,94.826,77.466,31.284,8.8007,27.573,6.9367,19.042,1.6405,31.614,13.733,25.868,1.1659,18.625,2.212,4.7364,2.2058,0.031851,0.82866,0.092359,53.775,44.077,63.113,53.834,34.84,59.995,20.433,39.018,43.4,43.555,48.095,40.927,18.284,0
0.35511,3650,4557.7,9.3024,27.281,41.868,2740.8,74.988,120.4,0.32535,80.18,50.273,2668.6,24.285,50.443,3152.2,23.621,65.973,233.4,331.96,94.992,77.412,31.284,8.8007,27.573,6.9367,19.042,1.6405,31.614,13.733,25.868,1.1659,18.625,2.212,4.7364,2.2058,0.031851,0.82866,0.092359,53.775,44.077,62.732,53.829,34.715,61.306,20.616,39.459,38.903,47.558,48.067,40.074,16.38,0
